author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,house_material_type,year_construction
Sminex,developer,https://www.cian.ru/sale/flat/306341785/,Москва,sale,flat,2,12,1,83.3,172590000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк ,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308553460/,Москва,sale,flat,9,12,2,99.0,96750000.0,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская,,
MR Group,developer,https://www.cian.ru/sale/flat/308909118/,Москва,sale,flat,6,13,2,85.19,126021567.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/302398135/,Москва,sale,flat,5,17,3,105.0,130000000.0,Пресненский, Сергея Макеева,9к2,Улица 1905 года,RedSide,,
Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва,sale,flat,2,14,2,85.6,175450000.0,Якиманка,,,Боровицкая,Лаврушинский ЖК,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306566143/,Москва,sale,flat,6,7,2,96.0,260000000.0,Хамовники, Льва Толстого,23к7с3,Парк Культуры,,,
TOUCH,developer,https://www.cian.ru/sale/flat/302838489/,Москва,sale,flat,8,13,2,64.0,37645480.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК,,
ID 10601,realtor,https://www.cian.ru/sale/flat/307801822/,Москва,sale,flat,5,5,2,42.3,28300000.0,Тверской,Тверская ,27С1,Маяковская,,,
Пионер,developer,https://www.cian.ru/sale/flat/303126557/,Москва,sale,flat,3,18,2,48.5,35800507.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308343895/,Москва,sale,flat,8,29,2,69.1,31095000.0,Якиманка,Мытная ,40к3,Шаболовская,Sky House,,
Absolute Premium,developer,https://www.cian.ru/sale/flat/308261025/,Москва,sale,flat,4,17,2,49.8,57968000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/296139192/,Москва,sale,flat,24,44,3,69.0,31700000.0,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити,,
FORMA,developer,https://www.cian.ru/sale/flat/306305906/,Москва,sale,flat,5,33,2,64.67,37928955.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/306888870/,Москва,sale,flat,25,35,3,137.6,70000000.0,Щукино,Авиационная ,79К1,Щукинская,Алые Паруса,,
COLDY,developer,https://www.cian.ru/sale/flat/308462308/,Москва,sale,flat,7,15,2,53.7,50408190.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский,,
ID 85604823,unknown,https://www.cian.ru/sale/flat/308497818/,Москва,sale,flat,16,41,2,51.0,34000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,,
Донстрой,developer,https://www.cian.ru/sale/flat/307281236/,Москва,sale,flat,7,21,2,65.3,24435260.0,Лефортово,,,Площадь Ильича,Символ ЖК,,
ID 85604823,unknown,https://www.cian.ru/sale/flat/305768574/,Москва,sale,flat,6,42,1,42.0,29000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,,
Пионер,developer,https://www.cian.ru/sale/flat/301459955/,Москва,sale,flat,4,11,2,85.3,77775516.0,Даниловский,,,Павелецкая,Опус ЖК,,
