,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,district,street,underground,residential_complex,square_price
1,Самолёт плюс Подмосковье Серпухов,real_estate_agent,Серпухов,sale,flat,1,9,1,33.0,4150000.0,1975,Вторичка,unknown,unknown,18.0,6.0,2.7,unknown, Ворошилова,Аннино,unknown,125757.57575757576
2,ID 3246838,realtor,Серпухов,sale,flat,4,4,1,14.0,1700000.0,2014,Вторичка,unknown,unknown,22.0,8.7,2.7,Красный Текстильщик мкр, Красный Текстильщик,unknown,unknown,121428.57142857143
3,ID 64398571,unknown,Серпухов,sale,flat,5,5,1,17.5,2500000.0,1968,Вторичка,unknown,unknown,22.0,8.7,2.7,Серпухов,Российская ,unknown,unknown,142857.14285714287
5,Максим Юсов,real_estate_agent,Серпухов,sale,flat,2,3,1,46.7,6599999.0,2014,Вторичка,unknown,unknown,25.0,6.0,2.7,Серпухов, 2-я Московская,unknown,unknown,141327.6017130621
8,Ольга Протченко,realtor,Серпухов,sale,flat,1,2,1,27.1,1900000.0,1969,Вторичка,unknown,Наземная,18.0,6.0,2.5,unknown,unknown,unknown,unknown,70110.70110701106
9,Глеб Маслов,realtor,Серпухов,sale,flat,6,9,2,42.7,3990000.0,1980,Вторичка,1 лоджия,Наземная,29.7,5.6,2.7,Серпухов,Весенняя ,unknown,unknown,93442.62295081967
10,Людмила Горбачева,realtor,Серпухов,sale,flat,1,5,2,42.8,2999000.0,1990,Вторичка,1 балкон,Наземная,24.9,6.0,2.5,пос. Чехов-8, Южная,unknown,unknown,70070.09345794393
11,KENSINGTON,real_estate_agent,Серпухов,sale,flat,3,4,1,47.0,1980000.0,1964,Вторичка,1 балкон,Наземная,22.0,16.0,2.9,unknown,Художественный проезд,Силикатная,unknown,42127.65957446808
12,ID 12882449,homeowner,Серпухов,sale,flat,15,17,1,20.55,2600000.0,2025,Новостройка,1 лоджия,Наземная,13.4,3.0,2.7,мкр. Востряково, Ледовская,unknown,Солнечный,126520.6812652068
13,Монолит Столица,real_estate_agent,Серпухов,sale,flat,1,3,1,25.3,2500000.0,2015,Вторичка,1 лоджия,unknown,14.1,6.2,2.8,д. Ворщиково, Солнечный Град,unknown,unknown,98814.22924901186
14,Евгений Цопин,realtor,Серпухов,sale,flat,2,3,1,36.0,2790000.0,2014,Вторичка,unknown,unknown,22.0,8.7,2.7,Чехов,Русская ,unknown,unknown,77500.0
15,Сириус,real_estate_agent,Серпухов,sale,flat,1,3,1,22.4,2600000.0,2014,Вторичка,1 лоджия,unknown,22.0,8.7,2.7,Чехов,Русская ,unknown,unknown,116071.42857142858
16,ПОРТАЛ ЭСТЕЙТ,real_estate_agent,Серпухов,sale,flat,2,3,2,42.0,3200000.0,2014,Вторичка,unknown,Наземная,28.0,6.0,2.7,unknown,unknown,unknown,unknown,76190.47619047618
17,Павел Конорев,realtor,Серпухов,sale,flat,2,4,1,41.4,2800000.0,1975,Вторичка,1 балкон,Наземная,20.0,7.0,2.7,unknown,unknown,unknown,unknown,67632.8502415459
18,Shmigirilov Estate,real_estate_agent,Серпухов,sale,flat,2,2,1,31.3,2700000.0,1970,Вторичка,unknown,Наземная,22.0,5.0,2.7,д. Рыбаки, Садовая,unknown,unknown,86261.98083067093
19,Гарант,real_estate_agent,Серпухов,sale,flat,5,5,1,31.0,3090000.0,1984,Вторичка,1 балкон,Наземная,15.0,7.3,2.7,с. Ильинское, Бригадная,unknown,unknown,99677.41935483871
20,ID 101407752,homeowner,Серпухов,sale,flat,1,2,1,32.1,2600000.0,1965,Вторичка,unknown,Наземная,22.0,6.1,2.5,д. Дубнево, Новые Дома,unknown,unknown,80996.88473520249
22,Самолёт плюс Подмосковье Серпухов,real_estate_agent,Серпухов,sale,flat,2,3,1,27.0,2500000.0,2014,Вторичка,unknown,unknown,19.0,3.0,2.5,Красный Текстильщик мкр, Красный Текстильщик,unknown,unknown,92592.5925925926
23,Города,real_estate_agent,Серпухов,sale,flat,6,6,1,38.9,2800000.0,2010,Вторичка,1 лоджия,unknown,16.0,10.0,2.8,д. Городище, Молодежная,unknown,unknown,71979.43444730078
24,ЛИДЕРМЭЙН,real_estate_agent,Серпухов,sale,flat,2,5,1,29.0,3100000.0,1964,Вторичка,unknown,unknown,19.0,6.0,2.5,Серпухов,переулок 1-й Оборонный,unknown,unknown,106896.55172413793
26,ID 76236717,homeowner,Серпухов,sale,flat,8,10,3,64.0,7450000.0,1992,Вторичка,1 лоджия,Наземная,22.0,9.0,2.8,Серпухов,Звездная ,unknown,unknown,116406.25
27,ID 119750928,homeowner,Серпухов,sale,flat,8,9,3,60.0,6600000.0,1975,Вторичка,1 лоджия,unknown,40.0,9.0,2.6,Серпухов, Ворошилова,unknown,unknown,110000.0
28,Екатерина Шведова,realtor,Серпухов,sale,flat,3,10,3,62.1,7300000.0,1992,Вторичка,1 балкон,unknown,45.0,9.0,2.8,Серпухов,Звездная ,unknown,unknown,117552.33494363929
29,Первое агентство недвижимости,real_estate_agent,Серпухов,sale,flat,3,5,3,67.2,7999000.0,2014,Вторичка,3 лоджии,Наземная,50.0,10.0,2.7,Серпухов, Ивана Болотникова,unknown,unknown,119032.73809523809
30,Этажи Серпухов,real_estate_agent,Серпухов,sale,flat,7,24,3,77.6,12700000.0,2011,Вторичка / Апартаменты,1 балкон,unknown,22.0,5.0,2.7,Серпухов,Борисовское шоссе,unknown,unknown,163659.793814433
